mean_X	mean_Y	mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
179.871830	180.046025	-0.050000	-0.050000	0.000000	0.000000	0.783342	0.613629	-0.038503	-0.525404	-0.524945	0.052011	0.052312	-0.100000	0.000000
179.903964	180.087222	-0.050000	-0.050000	0.000000	0.000000	0.788878	0.620803	-0.038517	-0.525319	-0.524836	0.051879	0.052490	-0.100000	0.000000
179.918209	180.089164	-0.050000	-0.050000	0.000000	0.000000	0.786327	0.619700	-0.038528	-0.525282	-0.524831	0.051298	0.052338	-0.100000	0.000000
179.950796	179.846828	-0.050000	-0.050000	0.000000	0.000000	0.791777	0.616813	-0.038522	-0.525196	-0.525470	0.052532	0.052000	-0.100000	0.000000
179.883301	179.875548	-0.050000	-0.050000	0.000000	0.000000	0.791983	0.616433	-0.038528	-0.525374	-0.525394	0.052630	0.051655	-0.100000	0.000000
179.968487	179.868725	-0.050000	-0.050000	0.000000	0.000000	0.793142	0.637443	-0.038535	-0.525149	-0.525412	0.052440	0.051688	-0.100000	0.000000
180.091501	179.941741	-0.050000	-0.050000	0.000000	0.000000	0.789917	0.628753	-0.038512	-0.524825	-0.525220	0.052391	0.052290	-0.100000	0.000000
180.039309	180.090881	-0.050000	-0.050000	0.000000	0.000000	0.787053	0.618368	-0.038522	-0.524962	-0.524826	0.052367	0.051606	-0.100000	0.000000
180.262595	180.057979	-0.050000	-0.050000	0.000000	0.000000	0.793375	0.639984	-0.038527	-0.524373	-0.524913	0.052581	0.051824	-0.100000	0.000000
180.231759	180.171406	-0.050000	-0.050000	0.000000	0.000000	0.786928	0.613264	-0.038515	-0.524454	-0.524614	0.052547	0.051655	-0.100000	0.000000
180.240475	179.913482	-0.050000	-0.050000	0.000000	0.000000	0.788028	0.633757	-0.038517	-0.524431	-0.525294	0.052641	0.051600	-0.100000	0.000000
180.025867	180.149506	-0.050000	-0.050000	0.000000	0.000000	0.782354	0.603434	-0.038497	-0.524998	-0.524671	0.052720	0.051692	-0.100000	0.000000
180.041608	180.128777	-0.050000	-0.050000	0.000000	0.000000	0.787730	0.615595	-0.038513	-0.524956	-0.524726	0.052407	0.051939	-0.100000	0.000000
